crosshead_mean,crosshead_min,crosshead_max,crosshead_median,crosshead_standard,reaction_mean,reaction_min,reaction_max,reaction_median,reaction_standard,spray_mean,spray_min,spray_max,spray_median,spray_standard,player_name,is_pro
2.9128211208931445,1.30160981252942,4.714553091896841,2.8175607895731574,1.4663143754593109,2.75,2.0,3.0,3.0,0.4330127018922193,33.25,19,50,32.0,14.359230480774379,Spinx,0
5.539089119830869,1.2020332831220757,18.272923691999285,3.4307379980551165,5.809429546306361,10.833333333333334,4.0,30.0,7.5,9.099755796479132,14.166666666666666,6,26,14.0,7.243771270700244,xelex,0
5.178212706146095,1.1453465667314486,13.361706134804598,2.2330059607391637,4.853508757706815,11.666666666666666,4.0,28.0,10.0,7.788880963698615,23.444444444444443,6,116,11.0,33.38366570349142,xertioN,0
5.598461529431205,4.939552154007812,6.683955240199826,5.171877194085976,0.7733977752534609,16.666666666666668,3.0,24.0,23.0,9.672412085697939,12.333333333333334,7,19,11.0,4.988876515698588,torzsi,0
9.081650515135781,0.15949038294479406,29.95336652502267,5.949100232026105,10.696385594084154,6.0,3.0,10.0,5.0,2.6076809620810595,19.0,6,38,13.0,13.446189051177289,Brollan,0
7.888746997543947,1.0172181752793017,25.299034787743942,6.242245288772891,7.69519919237919,17.142857142857142,3.0,47.0,13.0,13.265729977529872,28.571428571428573,4,127,15.0,32.495525594664095,ZywOo,0
3.1531014569825815,1.47219759889205,5.508403463440943,2.733550973150015,1.4922328673136784,10.0,2.0,21.0,8.0,6.733003292241386,14.166666666666666,6,32,7.5,10.683580340358231,apEX,0
4.229600218435565,1.4793581451832114,11.30001636911011,3.0479440042560784,2.716228106553949,18.6,5.0,83.0,8.5,22.517548712060112,45.3,10,168,21.5,48.7955940633988,mezii,0
6.958391262935113,1.4934452475718694,28.27007469947109,3.2713749262924035,9.570007120002098,4.5,1.0,8.0,4.5,3.5,30.833333333333332,5,76,15.5,27.901115071305345,flameZ,0
5.632428932165765,0.819005443910213,23.235795389079698,2.5345645824602903,5.840868879332025,8.0,2.0,41.0,4.5,9.819805060619657,29.357142857142858,5,90,20.0,26.190530302974402,ropz,0
5.572660791373575,0.4897892420813676,14.073442754213508,2.6126190973330226,4.842747829312026,17.076923076923077,2.0,59.0,10.0,15.862202478080441,33.69230769230769,6,93,20.0,26.304093321074326,NiKo,0
7.018677616689956,1.3341286836146748,16.317654701758748,4.758475467002411,5.267785416996254,12.588235294117647,2.0,45.0,8.0,12.242927483098208,23.529411764705884,5,171,13.0,37.95371429867891,kyousuke,0
5.094021173400303,0.7610474456125625,17.289387355007552,2.579893961269973,5.73454905795807,4.5,1.0,13.0,2.5,3.968626966596886,21.125,6,46,12.0,16.87036973513029,TeSeS,0
11.161447274862894,1.1973029253622578,24.090348007584016,8.255751131876881,8.486313283084215,9.071428571428571,3.0,17.0,7.0,5.049247266591692,33.142857142857146,6,92,32.0,22.75288723549212,karrigan,0
8.223734373593931,2.517928117073857,17.516769644880736,6.430119866210568,5.616036057808368,9.25,4.0,19.0,7.0,5.931905258852336,25.0,17,32,25.5,6.59545297913646,YEKINDAR,0
5.3730805968253605,0.6186559859449766,15.177217322463187,5.3462843642809155,4.999224957488263,12.857142857142858,2.0,32.0,7.0,11.969348608944806,37.0,11,73,29.0,20.54263858417414,KSCERATO,0
